match,team_num,sallyAbility,moatScore,sallyScore,HAPC_Drawbridge,rampartsScore,HTC_Drawbridge,FieldComments,lowbarAbility,drawbridgeAbility,HTC_SallyPort,HTC_Moat,HTC_Cheval-de-Frise,roughScore,chevalScore,lowbarScore,HAPC_Moat,HTC_Ramparts,HAPC_RoughTerrain,HTC_Rockwall,HTC_RoughTerrain,HAPC_Portcullis,HAPC_Rockwall,portScore,HTC_Portcullis,portAbility,moatAbility,HAPC_Ramparts,rampartsAbility,HTC_LowBar,HAPC_LowBar,chevalAbility,rockwallScore,roughAbility,rockwallAbility,HAPC_SallyPort,HAPC_Cheval-de-Frise,drawbridgeScore,challanged,LGF,HGS,TF,PD,HGF,LGS,scalled,TC,rockwallCross,lowbarCross,sallyReach,lowbarReach,lowbarStart,moatReach,rampartsCross,moatStart,rampartsReach,chevalReach,areYouASpyBot,portStart,Shoot in Auton Capibility,chevalStart,roughStart,moatCross,sallyCross,startedWithBall,drawbridgeCross,chevalCross,portReach,drawbridgeReach,rampartsStart,rockwallReach,drawbridgeStart,sallyStart,roughCross,roughReach,rockwallStart,portCross
17,2569,0,0,0,0,0,0,,0,0,0,0,0,0,E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
24,5566,0,0,0,0,0,0,Stuck on low bar,0,0,0,0,0,0,E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
28,441,0,0,1,0,0,0,,0,0,0,0,0,0,E2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Focus was on defense crossing , had trouble doing a low goal",1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29,2587,0,0,4,0,1,0,,0,0,0,0,0,0,E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,6173,0,0,0,0,0,0,Is only moving around in the middle zone,0,0,0,0,0,1,E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not sure why they couldn't challenge correctly,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8,624,0,0,0,0,0,0,,0,0,0,0,0,0,E2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3991,1,0,1,0,2,0,"Has a ball, but does not shoot",0,0,0,0,0,0,E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5829,0,0,0,0,0,0,,0,0,0,0,0,2,E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
5,233,0,0,0,0,0,0,233 got stuck or disabled on 3rd go on the low bar,0,0,0,0,0,0,E2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Got through and made it to challenge,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,,0,0,0,0,0,0,FieldComments,0,0,0,0,0,0,E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,C3,C9,B8,C8,C7,A8,B3,A7,B2,A5,D1,A1,1,A4,C4,A9,B9,D2,B6,A6,A2,B5,B1,C2,B4,B7,C6,C5,C1,A3
